isin,company_name,short_name,security_class,instrument_type,macro_sector,sector,industry,basic_industry,market_cap_bucket,has_nse_listing,has_bse_listing,is_cross_listed,listing_count,primary_exchange,primary_symbol,primary_instrument_key,listing_status,is_active,is_listed,is_suspended,is_delisted,listing_date,face_value,fno_eligible,futures_available,options_available,classification_source,instrument_source,source_updated_at,record_updated_at
INE397D01024,Bharti Airtel Limited,Bharti Airtel,COMMON_EQUITY,EQ,Telecommunication,Telecommunication,Telecom - Services,Telecom - Cellular & Fixed line services,,True,False,False,1,NSE,BHARTIARTL,NSE_EQ|INE397D01024,ACTIVE,True,True,,,2002-02-15,5.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE040A01034,HDFC Bank Limited,HDFC Bank,COMMON_EQUITY,EQ,Financial Services,Financial Services,Banks,Private Sector Bank,,True,False,False,1,NSE,HDFCBANK,NSE_EQ|INE040A01034,ACTIVE,True,True,,,1995-11-08,1.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE030A01027,Hindustan Unilever Limited,Hindustan Unilever,COMMON_EQUITY,EQ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,,True,False,False,1,NSE,HINDUNILVR,NSE_EQ|INE030A01027,ACTIVE,True,True,,,1995-07-06,1.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE090A01021,ICICI Bank Limited,ICICI Bank,COMMON_EQUITY,EQ,Financial Services,Financial Services,Banks,Private Sector Bank,,True,False,False,1,NSE,ICICIBANK,NSE_EQ|INE090A01021,ACTIVE,True,True,,,1997-09-17,2.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE009A01021,Infosys Limited,Infosys,COMMON_EQUITY,EQ,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,True,False,False,1,NSE,INFY,NSE_EQ|INE009A01021,ACTIVE,True,True,,,1995-02-08,5.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE154A01025,ITC Limited,ITC,COMMON_EQUITY,EQ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,,True,False,False,1,NSE,ITC,NSE_EQ|INE154A01025,ACTIVE,True,True,,,1995-08-23,1.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE018A01030,Larsen & Toubro Limited,Larsen & Toubro,COMMON_EQUITY,EQ,Industrials,Construction,Construction,Civil Construction,,True,False,False,1,NSE,LT,NSE_EQ|INE018A01030,ACTIVE,True,True,,,2004-06-23,2.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE002A01018,Reliance Industries Limited,Reliance Industries,COMMON_EQUITY,EQ,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,,True,False,False,1,NSE,RELIANCE,NSE_EQ|INE002A01018,ACTIVE,True,True,,,1995-11-29,10.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE062A01020,State Bank of India,State Bank of India,COMMON_EQUITY,EQ,Financial Services,Financial Services,Banks,Public Sector Bank,,True,False,False,1,NSE,SBIN,NSE_EQ|INE062A01020,ACTIVE,True,True,,,1995-03-01,1.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
INE467B01029,Tata Consultancy Services Limited,TCS,COMMON_EQUITY,EQ,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,,True,False,False,1,NSE,TCS,NSE_EQ|INE467B01029,ACTIVE,True,True,,,2004-08-25,1.0,False,False,False,NSE equity master + NSE indices taxonomy (March 2022),Upstox,2026-06-20 19:35:24.496450,2026-09-16 02:50:14.093718
